Year,Total housing units,Bungalow,Flat / Maisonette,Terraced House,Semi-Detached House,Detached House,Annexe,Caravan/ Houseboat/ Mobile Home,Unknown,,,
1993,"187,070","1,780","39,620","59,010","39,060","2,710",0,80,"44,810",,,
1994,"187,440","1,840","40,270","60,770","40,350","2,860",0,80,"41,280",,,
1995,"186,560","1,950","42,600","62,650","41,790","3,070",0,80,"34,400",,,
1996,"188,100","1,990","44,750","64,670","43,140","3,290",0,90,"30,170",,,
1997,"189,190","2,070","47,210","66,660","44,590","3,490",0,90,"25,090",,,
1998,"189,520","2,140","48,770","69,360","46,310","3,730",0,80,"19,120",,,
1999,"190,860","2,250","50,210","71,750","47,930","3,970",0,90,"14,680",,,
2000,"192,570","2,310","51,860","74,100","49,360","4,210",0,90,"10,650",,,
2001,"193,810","2,380","54,060","76,170","50,820","4,410",0,90,"5,890",,,
2002,"194,920","2,420","56,450","77,070","51,500","4,540",0,90,"2,870",,,
2003,"197,000","2,470","59,080","77,500","51,810","4,610",0,90,"1,450",,,
2004,"199,150","2,500","61,170","77,840","52,020","4,740",0,90,800,,,
2005,"201,190","2,570","63,280","77,710","52,260","4,880",0,90,400,,,
2006,"203,240","2,620","65,170","77,680","52,340","4,990",10,90,350,,,
2007,"208,300","2,620","69,390","78,140","52,550","5,170",10,90,330,,,
2008,"213,940","2,670","74,130","78,600","52,790","5,320",10,90,350,,,
2009,"216,160","2,680","76,120","78,670","52,890","5,370",10,90,330,,,
2010,"217,870","2,690","77,790","78,550","53,010","5,440",10,90,300,,,
2011,"218,270","2,710","78,420","78,180","53,090","5,480",20,90,290,,,
2012,"219,280","2,760","78,940","78,390","53,280","5,530",20,90,280,,,
2013,"221,340","2,770","80,210","78,650","53,590","5,640",20,110,350,,,
2014,"221,850","2,780","80,300","78,740","53,850","5,730",20,110,330,,,
2015,"222,730","2,830","80,600","78,930","54,100","5,820",20,110,320,,,
2016,"224,570","2,830","81,500","79,340","54,540","5,910",20,110,320,,,
2017,"226,310","2,840","82,470","79,640","54,880","5,990",30,110,340,,,
2018,"228,300","2,840","83,760","79,860","55,150","6,080",30,120,460,,,
2019,"230,900","2,840","85,420","80,050","55,630","6,180",30,120,650,,,
2020,"234,290","2,850","88,120","80,260","55,990","6,240",30,120,670,,,
2021,"238,800","2,850","92,150","80,430","56,280","6,290",30,120,670,,,
